2024-04-29 16:26:54,953,__main___datalog_Koopman,INFO,Datalog_time,time_delta_s, object_class, object_size, program_mode,x_mm,y_mm,z_mm,P_closure_psi,P_jaw1_psi,P_jaw2_psi,P_jaw3_psi,commanded_closure_pressure_psi, commanded_P_jaw1_psi, commanded_P_jaw2_psi, commanded_P_jaw3_psi,commanded_x_mm, commanded_y_mm,commanded_z_mm,sequence_num
2024-04-29 16:26:54,953,__main___datalog_Koopman,INFO,2024:Apr:29_16:26:54,77.79758191108704,rigid,40.0,LQR,-9.325000,12.925000,-180.180000,-0.018309,0.018310,0.002289,0.032042,12.000000,0.000000,0.000000,0.000000,0.06898581814901525,0.13571661331752582,-180.18,0
2024-04-29 16:26:55,009,__main___datalog_Koopman,INFO,2024:Apr:29_16:26:54,77.85290002822876,rigid,40.0,LQR,-9.187500,12.737500,-180.180000,-0.018309,0.013732,0.013732,0.032042,12.000000,0.000000,0.000000,0.000000,0.05502909111285209,0.09962007424615316,-180.18,1
2024-04-29 16:26:55,066,__main___datalog_Koopman,INFO,2024:Apr:29_16:26:54,77.91025185585022,rigid,40.0,LQR,-7.950000,11.050000,-180.180000,13.562710,0.013732,0.004577,0.027464,12.000000,0.000000,0.000000,0.000000,0.045573422708933026,0.0806858942393584,-180.18,2
2024-04-29 16:26:55,122,__main___datalog_Koopman,INFO,2024:Apr:29_16:26:54,77.9658613204956,rigid,40.0,LQR,-6.287500,8.800000,-180.180000,8.820568,0.020598,0.004577,0.027464,12.000000,0.000000,0.000000,0.000000,0.03467710510059794,0.05971106868588236,-180.18,3
2024-04-29 16:26:55,196,__main___datalog_Koopman,INFO,2024:Apr:29_16:26:54,78.03993344306946,rigid,40.0,LQR,-4.100000,5.825000,-180.180000,13.889992,0.018310,0.013732,0.027464,12.000000,0.000000,0.000000,0.000000,0.03354060464978958,0.05644649584252293,-180.18,4
2024-04-29 16:26:55,252,__main___datalog_Koopman,INFO,2024:Apr:29_16:26:54,78.09595894813538,rigid,40.0,LQR,-2.462500,3.587500,-180.180000,13.256027,0.018310,0.011443,0.027464,12.000000,0.000000,0.000000,0.000000,0.032326591001275065,0.05538774325914897,-180.18,5
2024-04-29 16:26:55,309,__main___datalog_Koopman,INFO,2024:Apr:29_16:26:54,78.15206003189087,rigid,40.0,LQR,-0.825000,1.362500,-180.180000,9.296613,0.013732,0.018310,0.027464,12.000000,0.000000,0.000000,0.000000,0.03565770744475523,0.06093609635394191,-180.18,6
2024-04-29 16:26:55,363,__main___datalog_Koopman,INFO,2024:Apr:29_16:26:54,78.20718169212341,rigid,40.0,LQR,0.062500,0.162500,-180.180000,13.034025,0.018310,0.029753,0.027464,12.000000,0.000000,0.000000,0.000000,0.03292429871904107,0.053601614703606526,-180.18,7
2024-04-29 16:26:55,420,__main___datalog_Koopman,INFO,2024:Apr:29_16:26:54,78.26360845565796,rigid,40.0,LQR,0.025000,0.062500,-180.180000,9.388160,0.018310,0.025176,0.027464,12.000000,0.000000,0.000000,0.000000,0.0332629171147426,0.055214129208153245,-180.18,8
2024-04-29 16:26:55,475,__main___datalog_Koopman,INFO,2024:Apr:29_16:26:54,78.31967234611511,rigid,40.0,LQR,0.025000,0.062500,-180.180000,13.194233,0.018310,0.011443,0.027464,12.000000,0.000000,0.000000,0.000000,0.03334331201587048,0.058081598557443104,-180.18,9
