2024-06-19 10:00:50,611.611,__main___datalogs,INFO,time_delta_s,program_mode,x_mm,y_mm,z_mm,closure distance (mm), jaw force (N), current position 1, current position 2, currentDistance_mm, commandedPosition_mm, RawForceArray (count),ForceArray (N),A,B,X,Y,SL,SR,+,Stick In,Home,R,ZR,Axes 1, Axes 2,move_to_pre_grasp,move_to_grasp,grasp,lift_after_grasp,move_to_pre_release,move_to_release,release,lift_after_release,1,2,3,4,5,6,7,8,9,Mode
2024-06-19 10:00:52,132.132,__main___datalogs,INFO,1.5200791358947754,JoyConState.NORMAL,0.000000,0.000000,0.000000,0.000000, -0.031429, 1981.000000, 1539.000000, 0.000000, 0.000000, 1581.000000, 26.117143,0,0,0,0,0,0,0,0,0,0,0,0.0025634765625,-0.016632080078125,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-06-19 10:00:52,228.228,__main___datalogs,INFO,1.616509199142456,JoyConState.NORMAL,0.000000,0.000000,0.000000,0.000000, 0.000000, 1981.000000, 1539.000000, 0.000000, 0.000000, 1582.000000, 26.148571,0,0,0,0,0,0,0,0,0,0,0,0.0025634765625,-0.016632080078125,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-06-19 10:00:52,340.340,__main___datalogs,INFO,1.7282419204711914,JoyConState.NORMAL,0.000000,0.000000,0.000000,0.000000, 0.000000, 1981.000000, 1539.000000, 0.000000, 0.000000, 1582.000000, 26.148571,0,0,0,0,0,0,0,0,0,0,0,0.0025634765625,-0.016632080078125,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-06-19 10:00:52,436.436,__main___datalogs,INFO,1.824950933456421,JoyConState.NORMAL,0.000000,0.000000,0.000000,0.000000, 0.000000, 1981.000000, 1539.000000, 0.000000, 0.000000, 1582.000000, 26.148571,0,0,0,0,0,0,0,0,0,0,0,0.0025634765625,-0.016632080078125,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-06-19 10:00:52,532.532,__main___datalogs,INFO,1.9201991558074951,JoyConState.NORMAL,0.000000,0.000000,0.000000,0.000000, -0.031429, 1981.000000, 1539.000000, 0.000000, 0.000000, 1581.000000, 26.117143,0,0,0,0,0,0,0,0,0,0,0,0.0025634765625,-0.016632080078125,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-06-19 10:00:52,628.628,__main___datalogs,INFO,2.016941785812378,JoyConState.NORMAL,0.000000,0.000000,0.000000,0.000000, -0.031429, 1981.000000, 1539.000000, 0.000000, 0.000000, 1581.000000, 26.117143,0,0,0,0,0,0,0,0,0,0,0,0.0025634765625,-0.016632080078125,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-06-19 10:00:52,723.723,__main___datalogs,INFO,2.111909866333008,JoyConState.NORMAL,0.000000,0.000000,0.000000,0.000000, 0.000000, 1981.000000, 1539.000000, 0.000000, 0.000000, 1582.000000, 26.148571,0,0,0,0,0,0,0,0,0,0,0,0.0025634765625,-0.016632080078125,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-06-19 10:00:52,820.820,__main___datalogs,INFO,2.20855450630188,JoyConState.NORMAL,0.000000,0.000000,0.000000,0.000000, 0.062857, 1981.000000, 1539.000000, 0.000000, 0.000000, 1584.000000, 26.211429,0,0,0,0,0,0,0,0,0,0,0,0.0025634765625,-0.016632080078125,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-06-19 10:00:52,916.916,__main___datalogs,INFO,2.3042848110198975,JoyConState.NORMAL,0.000000,0.000000,0.000000,0.000000, 0.000000, 1981.000000, 1539.000000, 0.000000, 0.000000, 1582.000000, 26.148571,0,0,0,0,0,0,0,0,0,0,0,0.0025634765625,-0.016632080078125,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-06-19 10:00:53,012.012,__main___datalogs,INFO,2.400999069213867,JoyConState.NORMAL,0.000000,0.000000,0.000000,0.000000, 0.000000, 1981.000000, 1539.000000, 0.000000, 0.000000, 1582.000000, 26.148571,0,0,0,0,0,0,0,0,0,0,0,0.0025634765625,-0.016632080078125,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
