2024-09-02 18:11:39,621.621,__main___datalogs,INFO,time_delta_s,program_mode,x_mm,y_mm,z_mm,current closure distance (mm), jaw force (N), current position 1, current position 2, currentDistance_mm, commandedPosition_mm, RawForceArray (count),ForceArray (N),A,B,X,Y,SL,SR,+,Stick In,Home,R,ZR,Axes 1, Axes 2,move_to_pre_grasp,move_to_grasp,grasp,lift_after_grasp,move_to_pre_release,move_to_release,release,lift_after_release,1,2,3,4,5,6,7,8,9,Mode
2024-09-02 18:11:41,205.205,__main___datalogs,INFO,1.584010124206543,JoyConState.NORMAL,0.000000,0.000000,0.000000,60.076800, -1.095162, 1817.000000, 1798.000000, 60.076800, 60.000000, 1552.000000, -1.095162,0,0,0,0,0,0,0,0,0,0,0,0.058807373046875,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-02 18:11:41,301.301,__main___datalogs,INFO,1.6802425384521484,JoyConState.NORMAL,0.000000,0.000000,0.000000,60.076800, -1.090838, 1817.000000, 1798.000000, 60.076800, 60.000000, 1553.000000, -1.090838,0,0,0,0,0,0,0,0,0,0,0,0.058807373046875,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-02 18:11:41,412.412,__main___datalogs,INFO,1.7912096977233887,JoyConState.NORMAL,0.000000,0.000000,0.000000,60.076800, -1.095162, 1817.000000, 1798.000000, 60.076800, 60.000000, 1552.000000, -1.095162,0,0,0,0,0,0,0,0,0,0,0,0.058807373046875,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-02 18:11:41,509.509,__main___datalogs,INFO,1.8881490230560303,JoyConState.NORMAL,0.000000,0.000000,0.000000,60.076800, -1.082191, 1817.000000, 1798.000000, 60.076800, 60.000000, 1555.000000, -1.082191,0,0,0,0,0,0,0,0,0,0,0,0.058807373046875,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-02 18:11:41,605.605,__main___datalogs,INFO,1.9837799072265625,JoyConState.NORMAL,0.000000,0.000000,0.000000,60.076800, -1.082191, 1817.000000, 1798.000000, 60.076800, 60.000000, 1555.000000, -1.082191,0,0,0,0,0,0,0,0,0,0,0,0.058807373046875,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-02 18:11:41,717.717,__main___datalogs,INFO,2.0964226722717285,JoyConState.NORMAL,0.000000,0.000000,0.000000,60.076800, -1.082191, 1817.000000, 1798.000000, 60.076800, 60.000000, 1555.000000, -1.082191,0,0,0,0,0,0,0,0,0,0,0,0.058807373046875,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-02 18:11:41,813.813,__main___datalogs,INFO,2.1919314861297607,JoyConState.NORMAL,0.000000,0.000000,0.000000,60.001600, -1.090838, 1816.000000, 1798.000000, 60.001600, 60.000000, 1553.000000, -1.090838,0,0,0,0,0,0,0,0,0,0,0,0.058807373046875,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-02 18:11:41,893.893,__main___datalogs,INFO,2.272200584411621,JoyConState.NORMAL,0.000000,0.000000,0.000000,60.076800, -1.077868, 1817.000000, 1798.000000, 60.076800, 60.000000, 1556.000000, -1.077868,0,0,0,0,0,0,0,0,0,0,0,0.058807373046875,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-02 18:11:41,988.988,__main___datalogs,INFO,2.367405891418457,JoyConState.NORMAL,0.000000,0.000000,0.000000,60.001600, -1.090838, 1816.000000, 1798.000000, 60.001600, 60.000000, 1553.000000, -1.090838,0,0,0,0,0,0,0,0,0,0,0,0.058807373046875,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-02 18:11:42,085.085,__main___datalogs,INFO,2.4638988971710205,JoyConState.NORMAL,0.000000,0.000000,0.000000,60.076800, -1.090838, 1817.000000, 1798.000000, 60.076800, 60.000000, 1553.000000, -1.090838,0,0,0,0,0,0,0,0,0,0,0,0.058807373046875,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
