2023-08-11 23:10:22,520,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,1000.000000 , 1000.000000 , 1000.000000 , 1000.000000,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.003052,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 23:10:22,551,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,33.426151 , 29.041042 , 33.435307 , 33.426151,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.003052,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 23:10:22,583,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,29.031891 , 14.684162 , 24.353830 , 29.041042,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.003052,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 23:10:22,615,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,14.695606 , 33.728256 , 33.435307 , 14.677296,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.003052,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 23:10:22,647,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.643119 , 29.041042 , 5.316601 , 0.643119,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.003052,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 23:10:22,680,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,29.041042 , 0.933781 , 19.684925 , 19.666616,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.003052,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 23:10:22,711,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,33.719105 , 14.702473 , 29.041042 , 33.719105,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.003052,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 23:10:22,742,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,19.373665 , 5.325755 , 0.643119 , 19.373665,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.003052,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 23:10:22,774,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,29.041042 , 33.435307 , 24.365273 , 24.372139,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.003052,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 23:10:22,806,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.936069 , 5.037382 , 0.929204 , 0.936069,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.003052,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 23:10:22,838,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.643119 , 29.041042 , 5.325755 , 0.643119,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.003052,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
