2023-08-11 22:21:06,666,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:06,698,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:06,730,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:06,762,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:06,794,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:06,827,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:06,859,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:06,890,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:06,921,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:06,954,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:06,986,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:07,034,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:07,066,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:07,097,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:07,129,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:07,161,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:07,193,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:07,226,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:07,258,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-11 22:21:07,289,HardwareDatalog,INFO,0.000000 , 0.000000 , 0.000000,33.746567 , 33.746567 , 33.746567 , 33.746567,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.057739 , 0.004272,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
