2024-09-01 11:23:38,018.018,__main___datalogs,INFO,time_delta_s,program_mode,x_mm,y_mm,z_mm,current closure distance (mm), jaw force (N), current position 1, current position 2, currentDistance_mm, commandedPosition_mm, RawForceArray (count),ForceArray (N),A,B,X,Y,SL,SR,+,Stick In,Home,R,ZR,Axes 1, Axes 2,move_to_pre_grasp,move_to_grasp,grasp,lift_after_grasp,move_to_pre_release,move_to_release,release,lift_after_release,1,2,3,4,5,6,7,8,9,Mode
2024-09-01 11:23:38,610.610,__main___datalogs,INFO,0.5919480323791504,JoyConState.NORMAL,0.000000,0.000000,0.000000,60.001600, -7.805353, 1816.000000, 1798.000000, 60.001600, 60.000000, 0.000000, -7.805353,0,0,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-01 11:23:38,706.706,__main___datalogs,INFO,0.6890339851379395,JoyConState.NORMAL,0.000000,0.000000,0.000000,60.001600, -1.406459, 1816.000000, 1798.000000, 60.001600, 60.000000, 1480.000000, -1.406459,0,0,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-01 11:23:38,802.802,__main___datalogs,INFO,0.7845203876495361,JoyConState.NORMAL,0.000000,0.000000,0.000000,60.001600, -7.805353, 1816.000000, 1798.000000, 60.001600, 60.000000, 0.000000, -7.805353,0,0,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-01 11:23:39,122.122,__main___datalogs,INFO,1.1049034595489502,JoyConState.NORMAL,0.000000,0.000000,0.000000,62.316800, -1.406459, 1831.000000, 1782.000000, 62.316800, 72.316800, 1477.000000, -1.419430,0,1,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-01 11:23:39,410.410,__main___datalogs,INFO,1.3926568031311035,JoyConState.NORMAL,0.000000,0.000000,0.000000,66.274400, -1.406459, 1856.000000, 1754.000000, 66.274400, 76.274400, 1476.000000, -1.423754,0,1,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-01 11:23:39,730.730,__main___datalogs,INFO,1.7124900817871094,JoyConState.NORMAL,0.000000,0.000000,0.000000,70.456600, -7.805353, 1883.000000, 1725.000000, 70.456600, 80.456600, 1479.000000, -1.410783,0,1,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-01 11:23:40,017.017,__main___datalogs,INFO,2.0002787113189697,JoyConState.NORMAL,0.000000,0.000000,0.000000,74.415200, -1.397812, 1909.000000, 1698.000000, 74.415200, 84.415200, 1480.000000, -1.406459,0,1,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-01 11:23:40,338.338,__main___datalogs,INFO,2.3204681873321533,JoyConState.NORMAL,0.000000,0.000000,0.000000,78.822000, -7.805353, 1938.000000, 1668.000000, 78.822000, 88.822000, 0.000000, -7.805353,0,1,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-01 11:23:40,465.465,__main___datalogs,INFO,2.4482269287109375,JoyConState.NORMAL,0.000000,0.000000,0.000000,81.883200, -1.397812, 1957.000000, 1646.000000, 81.883200, 88.822000, 1482.000000, -1.397812,0,0,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-01 11:23:40,562.562,__main___datalogs,INFO,2.5451929569244385,JoyConState.NORMAL,0.000000,0.000000,0.000000,82.928000, -7.805353, 1963.000000, 1638.000000, 82.928000, 88.822000, 0.000000, -7.805353,0,0,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-01 11:23:40,753.753,__main___datalogs,INFO,2.7362895011901855,JoyConState.NORMAL,0.000000,0.000000,0.000000,83.824400, -7.805353, 1969.000000, 1632.000000, 83.824400, 93.824400, 0.000000, -7.805353,0,1,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-01 11:23:40,946.946,__main___datalogs,INFO,2.928758144378662,JoyConState.NORMAL,0.000000,0.000000,0.000000,85.000000, -1.410783, 1977.000000, 1614.000000, 85.000000, 95.000000, 1474.000000, -1.432401,0,1,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-01 11:23:41,233.233,__main___datalogs,INFO,3.216069221496582,JoyConState.NORMAL,0.000000,0.000000,0.000000,85.000000, -7.805353, 1984.000000, 1590.000000, 85.000000, 95.000000, 1480.000000, -1.406459,0,1,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-09-01 11:23:41,458.458,__main___datalogs,INFO,3.4411022663116455,JoyConState.NORMAL,0.000000,0.000000,0.000000,85.000000, -7.805353, 1987.000000, 1576.000000, 85.000000, 95.000000, 0.000000, -7.805353,0,0,0,0,0,0,0,0,0,0,0,0.03485107421875,-0.001861572265625,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
