2023-08-16 11:03:03,268,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,1000.000000 , 1000.000000 , 1000.000000 , 1000.000000,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.056702 , -0.000610,notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted
2023-08-16 11:03:03,311,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.059506 , -0.025175 , 0.011443 , -0.006866,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.056702 , -0.000610,notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted
2023-08-16 11:03:03,351,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.061794 , -0.016021 , 0.011443 , -0.006866,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.056702 , -0.000610,notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted
2023-08-16 11:03:03,391,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.061794 , -0.020598 , 0.011443 , -0.002289,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.056702 , -0.000610,notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted
2023-08-16 11:03:03,430,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.061794 , -0.020598 , 0.011443 , -0.006866,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.056702 , -0.000610,notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted
2023-08-16 11:03:03,471,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.061794 , -0.020598 , 0.013732 , -0.006866,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.056702 , -0.000610,notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted
2023-08-16 11:03:03,510,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.061794 , -0.020598 , 0.013732 , -0.002289,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.056702 , -0.000610,notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted
2023-08-16 11:03:03,551,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.059506 , -0.020598 , 0.011443 , -0.002289,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.056702 , -0.000610,notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted
2023-08-16 11:03:03,590,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.061794 , -0.025175 , 0.013732 , -0.006866,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.056702 , -0.000610,notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted
2023-08-16 11:03:03,630,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.059506 , -0.025175 , 0.011443 , -0.002289,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.056702 , -0.000610,notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted
2023-08-16 11:03:03,670,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.061794 , -0.025175 , 0.011443 , 0.002289,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.056702 , -0.000610,notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted , notstarted
