2023-08-13 22:13:40,271,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.059506 , 0.169362 , 0.018310 , 0.009155,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.033813 , -0.061005,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-13 22:13:40,311,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.059506 , 0.169362 , 0.018310 , 0.009155,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.033813 , -0.061005,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-13 22:13:40,350,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.061794 , 0.169362 , 0.018310 , 0.009155,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.033813 , -0.061005,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-13 22:13:40,391,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.061794 , 0.169362 , 0.018310 , 0.002289,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.033813 , -0.061005,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-13 22:13:40,430,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.061794 , 0.169362 , 0.018310 , 0.013732,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.033813 , -0.061005,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-13 22:13:40,471,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.066372 , 0.173940 , 0.018310 , 0.013732,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.033813 , -0.061005,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-13 22:13:40,511,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.066372 , 0.169362 , 0.018310 , 0.009155,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.033813 , -0.061005,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-13 22:13:40,551,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.066372 , 0.173940 , 0.018310 , 0.013732,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.033813 , -0.061005,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-13 22:13:40,591,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.061794 , 0.173940 , 0.018310 , 0.016021,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.033813 , -0.061005,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
2023-08-13 22:13:40,631,__main___datalogs,INFO,0.000000 , 0.000000 , 0.000000,0.066372 , 0.173940 , 0.018310 , 0.016021,0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  0.033813 , -0.061005,Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started , Not Started
