2024-08-19 15:12:46,564.564,__main___datalogs,INFO,time_delta_s,program_mode,x_mm,y_mm,z_mm,current closure distance (mm), jaw force (N), current position 1, current position 2, currentDistance_mm, commandedPosition_mm, RawForceArray (count),ForceArray (N),A,B,X,Y,SL,SR,+,Stick In,Home,R,ZR,Axes 1, Axes 2,move_to_pre_grasp,move_to_grasp,grasp,lift_after_grasp,move_to_pre_release,move_to_release,release,lift_after_release,1,2,3,4,5,6,7,8,9,Mode
2024-08-19 15:12:47,141.141,__main___datalogs,INFO,0.5756597518920898,JoyConState.NORMAL,0.000000,0.000000,0.000000,48.797600, -1.311341, 1742.000000, 1874.000000, 48.797600, 60.000000, 1502.000000, -1.311341,0,0,0,0,0,0,0,0,0,0,0,0.042144775390625,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-08-19 15:12:47,253.253,__main___datalogs,INFO,0.6882977485656738,JoyConState.NORMAL,0.000000,0.000000,0.000000,49.469400, -1.324311, 1746.000000, 1869.000000, 49.469400, 60.000000, 1499.000000, -1.324311,0,0,0,0,0,0,0,0,0,0,0,0.042144775390625,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-08-19 15:12:47,349.349,__main___datalogs,INFO,0.7836627960205078,JoyConState.NORMAL,0.000000,0.000000,0.000000,51.261200, -1.319988, 1757.000000, 1856.000000, 51.261200, 60.000000, 1500.000000, -1.319988,0,0,0,0,0,0,0,0,0,0,0,0.042144775390625,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-08-19 15:12:47,445.445,__main___datalogs,INFO,0.8804848194122314,JoyConState.NORMAL,0.000000,0.000000,0.000000,52.382200, -1.324311, 1765.000000, 1849.000000, 52.382200, 60.000000, 1499.000000, -1.324311,0,0,0,0,0,0,0,0,0,0,0,0.042144775390625,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-08-19 15:12:47,541.541,__main___datalogs,INFO,0.976487398147583,JoyConState.NORMAL,0.000000,0.000000,0.000000,53.352800, -1.319988, 1771.000000, 1842.000000, 53.352800, 60.000000, 1500.000000, -1.319988,0,0,0,0,0,0,0,0,0,0,0,0.042144775390625,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-08-19 15:12:47,637.637,__main___datalogs,INFO,1.0724492073059082,JoyConState.NORMAL,0.000000,0.000000,0.000000,54.099800, -1.324311, 1776.000000, 1837.000000, 54.099800, 60.000000, 1499.000000, -1.324311,0,0,0,0,0,0,0,0,0,0,0,0.042144775390625,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-08-19 15:12:47,733.733,__main___datalogs,INFO,1.1684246063232422,JoyConState.NORMAL,0.000000,0.000000,0.000000,54.696400, -1.319988, 1779.000000, 1832.000000, 54.696400, 60.000000, 1500.000000, -1.319988,0,0,0,0,0,0,0,0,0,0,0,0.042144775390625,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-08-19 15:12:47,829.829,__main___datalogs,INFO,1.2642123699188232,JoyConState.NORMAL,0.000000,0.000000,0.000000,55.144600, -1.324311, 1782.000000, 1829.000000, 55.144600, 60.000000, 1499.000000, -1.324311,0,0,0,0,0,0,0,0,0,0,0,0.042144775390625,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-08-19 15:12:47,925.925,__main___datalogs,INFO,1.3604638576507568,JoyConState.NORMAL,0.000000,0.000000,0.000000,55.667000, -1.319988, 1785.000000, 1825.000000, 55.667000, 60.000000, 1500.000000, -1.319988,0,0,0,0,0,0,0,0,0,0,0,0.042144775390625,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-08-19 15:12:48,021.021,__main___datalogs,INFO,1.4567389488220215,JoyConState.NORMAL,0.000000,0.000000,0.000000,55.966800, -1.319988, 1788.000000, 1824.000000, 55.966800, 60.000000, 1500.000000, -1.319988,0,0,0,0,0,0,0,0,0,0,0,0.042144775390625,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-08-19 15:12:48,117.117,__main___datalogs,INFO,1.5525052547454834,JoyConState.NORMAL,0.000000,0.000000,0.000000,56.190400, -1.324311, 1789.000000, 1822.000000, 56.190400, 60.000000, 1499.000000, -1.324311,0,0,0,0,0,0,0,0,0,0,0,0.042144775390625,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
2024-08-19 15:12:48,229.229,__main___datalogs,INFO,1.6642141342163086,JoyConState.NORMAL,0.000000,0.000000,0.000000,56.489200, -1.319988, 1791.000000, 1820.000000, 56.489200, 60.000000, 1500.000000, -1.319988,0,0,0,0,0,0,0,0,0,0,0,0.042144775390625,-0.01171875,0,0,0,0,0,0,0,0,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,Object notstarted,NORMAL
